ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9780159014295,0159014298,"19,949,927",-159014300.40463,-1,-159014300.11616,-1,-159014303.09682,-1,-159014303.09682,-1,-159014303.09682,-1,-159014303.09682,-1,-159014303.09682,-1,-159014303.09682,0,-159014302.21,-1,-159014303.09682
9788434828391,8434828391,"6,781,745",-8434828395.4183,-1,-8434828395.6753,"8,889,174",-8434828396.1321,"6,281,418",-8434828396.1321,-1,-8434828396.1321,"1,582,739",-8434828396.1321,"128,460",-8434828396.1321,-1,-8434828396.1321,-1,-8434828396.1321,"1,742,415",-8434828396.1321
"JUVENILE FICTION / School & Education""","Bashfulness; Fiction.
","Invalid ISBN Provided"
"Loneliness; Fiction.",$0.00,"Invalid ISBN Provided"
"Spanish language materials.""",Book,"Invalid ISBN Provided"
9781496402899,1496402898,"1,868,770",-1496402900.1004,"3,576,578",-1496402902.2344,"4,791,969",-1496402902.2502,"6,706,698",-1496402902.2502,-1,-1496402902.2502,-1,-1496402902.2502,-1,-1496402902.2502,-1,-1496402902.2502,-1,-1496402902.2502,-1,-1496402902.2502
"CRAFTS & HOBBIES / General""",null,"Invalid ISBN Provided"
9781496402929,1496402928,"1,074,226",-1496402930.1004,"1,484,925",-1496402932.2344,-1,-1496402932.2502,-1,-1496402932.2502,-1,-1496402932.2502,-1,-1496402932.2502,-1,-1496402932.2502,-1,-1496402932.2502,-1,-1496402932.2502,-1,-1496402932.2502
"CRAFTS & HOBBIES / General""",null,"Invalid ISBN Provided"
9781496402936,1496402936,"12,394,120",-1496402940.2254,-1,-1496402940.2344,-1,-1496402940.2502,-1,-1496402940.2502,-1,-1496402940.2502,-1,-1496402940.2502,-1,-1496402940.2502,-1,-1496402940.2502,-1,-1496402940.2502,-1,-1496402940.2502
"CRAFTS & HOBBIES / General""",null,"Invalid ISBN Provided"
9781496402967,1496402960,"2,973,492",-1496402962.1074,-1,-1496402964.2502,-1,-1496402964.282,-1,-1496402964.282,-1,-1496402964.282,-1,-1496402964.282,-1,-1496402964.282,-1,-1496402964.282,-1,-1496402964.282,-1,-1496402961.698
9781496403025,1496403029,"9,726,056",-1496403031.1074,-1,-1496403030.2752,-1,-1496403033.282,-1,-1496403033.282,-1,-1496403033.282,-1,-1496403031.4035,-1,-1496403031.2165,-1,-1496403033.282,-1,-1496403033.282,-1,-1496403030.7405
"RELIGION / General""",null,"Invalid ISBN Provided"
